image_name,color0,color1,color2,color3,color4,color5,color6,color7,color8,color9
07207-canal410.jpg,#a9a9a9,#645452,#a9a9a9,#3d2b1f,#343434,#cfcfc4,#cfcfc4,#c9c0bb,#555,#bebebe
32177-margaret.jpg,#6f4e37,#3d2b1f,#1a2421,#1a2421,#bc987e,#801818,#701c1c,#654321,#1a2421,#918151
12256-verso07.jpg,#933d41,#d99058,#343434,#3d2b1f,#654321,#253529,#cd5b45,#b87333,#ffcba4,#722f37
20705-allegory.jpg,#321414,#6f4e37,#1a1110,#c19a6b,#100c08,#483c32,#1a1110,#592720,#fad6a5,#a0785a
35550-01schola.jpg,#100c08,#1a1110,#1a1110,#826644,#c19a6b,#eae0c8,#a67b5b,#e6be8a,#100c08,#483c32
34642-roman2.jpg,#826644,#bc987e,#3c341f,#918151,#654321,#c9c0bb,#c0c0c0,#c9c0bb,#253529,#4f666a
24845-altar.jpg,#6f4e37,#3d2b1f,#c19a6b,#e3dac9,#a67b5b,#882d17,#654321,#e6be8a,#1a2421,#8fbc8f
02861-sebastia.jpg,#321414,#1a2421,#cd9575,#8b4513,#e3dac9,#e6be8a,#3c1414,#801818,#1a2421,#b87333
15716-coronati.jpg,#6f4e37,#3c1414,#321414,#c19a6b,#592720,#592720,#cd853f,#704241,#000,#000
35785-torrent.jpg,#1a2421,#635147,#a99a86,#eae0c8,#1a1110,#1a1110,#483c32,#c9c0bb,#918151,#aa98a9
09031-07delos.jpg,#dcdcdc,#635147,#1a2421,#343434,#a99a86,#3d2b1f,#f2f3f4,#a2a2d0,#99badd,#e3dac9
44459-landdune.jpg,#bc987e,#7c4848,#3d2b1f,#edc9af,#e6be8a,#343434,#a0785a,#483c32,#51484f,#483c32
19509-entombm1.jpg,#321414,#826644,#808080,#c19a6b,#1a1110,#654321,#a57164,#808080,#f5deb3,#321414
14023-1zenob09.jpg,#e3dac9,#bc987e,#826644,#3d2b1f,#4f666a,#1a2421,#e5e4e2,#cd853f,#8c92ac,#4f666a
41732-stillif1.jpg,#1a2421,#3d2b1f,#6f4e37,#c19a6b,#1a2421,#f3e5ab,#eedc82,#4b3621,#918151,#a9a9a9
01126-portrait.jpg,#3c1414,#100c08,#6f4e37,#2c1608,#701c1c,#c19a6b,#100c08,#555,#645452,#a67b5b
39113-3halberd.jpg,#826644,#bc987e,#321414,#e3dac9,#979aaa,#a0785a,#d2b48c,#654321,#696969,#dcdcdc
19129-29nohad.jpg,#826644,#321414,#c19a6b,#1a1110,#eae0c8,#1a1110,#a0785a,#e6be8a,#654321,#cb6d51
44509-deathque.jpg,#3d2b1f,#635147,#a99a86,#3d2b1f,#253529,#483c32,#592720,#722f37,#555,#918151
40783-salzburg.jpg,#1a2421,#6f4e37,#3d2b1f,#bc987e,#efdecd,#483c32,#918151,#1a2421,#e6be8a,#465945
09677-3giove2.jpg,#321414,#635147,#a99a86,#1a1110,#1a2421,#918151,#4f666a,#654321,#979aaa,#e3dac9
26703-lu05zer.jpg,#a99a86,#645452,#e3dac9,#3d2b1f,#1a2421,#98777b,#483c32,#c9c0bb,#555,#c9c0bb
37680-interior.jpg,#321414,#826644,#c19a6b,#1a1110,#1a1110,#a67b5b,#654321,#f5deb3,#e6be8a,#1a1110
21825-rachel.jpg,#3d2b1f,#1a2421,#635147,#c2b280,#edc9af,#e6be8a,#483c32,#1a2421,#483c32,#a0785a
01128-s_jerome.jpg,#933d41,#bc987e,#3c1414,#eae0c8,#cd5b45,#701c1c,#321414,#645452,#a67b5b,#e6be8a
29676-capricci.jpg,#321414,#79443b,#1a1110,#c19a6b,#a0785a,#4b3621,#4b3621,#100c08,#e6be8a,#edc9af
25943-2scene.jpg,#a99a86,#e3dac9,#826644,#3c341f,#8c92ac,#e6be8a,#918151,#5d8aa8,#536872,#4b5320
37797-3east3.jpg,#6f4e37,#3d2b1f,#1a2421,#bc987e,#e3dac9,#483c32,#253529,#654321,#465945,#555
05467-43virgin.jpg,#100c08,#826644,#1a2421,#bc987e,#8c92ac,#100c08,#321414,#701c1c,#843f5b,#ad6f69
39280-5tomb.jpg,#2c1608,#6f4e37,#100c08,#c19a6b,#592720,#a67b5b,#654321,#1a1110,#a57164,#e6be8a
08721-shinneck.jpg,#826644,#bcd4e6,#c19a6b,#a2add0,#918151,#3d2b1f,#f4f0ec,#4b5320,#f0ead6,#aec6cf
30962-shulamit.jpg,#635147,#1a1110,#c3b091,#321414,#645452,#801818,#536878,#edc9af,#aa98a9,#253529
23844-3manet03.jpg,#1a1110,#100c08,#f4f0ec,#6f4e37,#e5e4e2,#3d2b1f,#979aaa,#efdecd,#592720,#bc987e
43992-0bladel1.jpg,#826644,#321414,#c19a6b,#a67b5b,#e6be8a,#321414,#fffafa,#f3e5ab,#654321,#654321
43237-ariovist.jpg,#3d2b1f,#826644,#918151,#a99a86,#483c32,#1a2421,#654321,#1a2421,#1a2421,#d2b48c
20479-annuncia.jpg,#893f45,#bc987e,#321414,#882d17,#edc9af,#918151,#bf4f51,#654321,#8b8589,#d2b48c
15468-3gigli0.jpg,#826644,#bc987e,#592720,#ecebbd,#654321,#a67b5b,#8c92ac,#536878,#645452,#321414
12580-4fugger.jpg,#536878,#1a1110,#1a1110,#789,#cd9575,#708090,#7c4848,#645452,#ad6f69,#efdecd
